"Message",Low,"Opbouwen gestart."
"Message",Low,"Project Unnamed_1 (standaarddoelen):"
"Message",Low,"Er wordt gebouwd met hulpprogrammaversie 4.0."
"Message",Low,"Doel PrintILCStartMessage in bestand C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets uit project D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\Unnamed_1 (doel Build is hiervan afhankelijk):"
"Message",Low,"De taak IlcMessageTask uit assembly C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe wordt gebruikt."
"Message",Low,"Taak IlcMessageTask"
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Uitvoeren van taak IlcMessageTask voltooid."
"Message",Low,"Opbouwen van doel PrintILCStartMessage in project Unnamed_1 voltooid."
"Message",Low,"Doel LogAppContextSwitches in bestand C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets uit project D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\Unnamed_1 (doel SetMainTargetPaths is hiervan afhankelijk):"
"Message",Low,"De taak Message uit assembly Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a wordt gebruikt."
"Message",Low,"Taak Message"
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Uitvoeren van taak Message voltooid."
"Message",Low,"Opbouwen van doel LogAppContextSwitches in project Unnamed_1 voltooid."
"Message",Low,"Doel SetMainTargetPaths in bestand C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets uit project D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\Unnamed_1 (doel CopyNativeExecutablesToOutput is hiervan afhankelijk):"
"Message",Low,"Opbouwen van doel SetMainTargetPaths in project Unnamed_1 voltooid."
"Message",Low,"Doel GenerateFakeExe overgeslagen vanwege onjuiste voorwaarde; (!Exists('@(InputILTarget)')) heeft (!Exists('D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\obj\x86\Release\ilc\in\PackingList.exe')) opgeleverd."
"Message",Low,"Doel InjectCoreLibTypeForwards in bestand C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets uit project D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\Unnamed_1 (doel RunILTransforms is hiervan afhankelijk):"
"Message",Low,"De taak MakeDir uit assembly Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a wordt gebruikt."
"Message",Low,"Taak MakeDir"
"Message",Normal,"De map D:\Windows Phone\PackingList\PackaglistAppWindowsUniversal\PackingList\obj\x86\Release\ilc\intermediate\TransformedCoreLib\ wordt gemaakt."
"Message",Low,"Uitvoeren van taak MakeDir voltooid."
"Message",Low,"De taak ILTransformTask uit assembly Microsoft.Build.ILTasks wordt gebruikt."
"Message",Low,"Taak ILTransformTask"
"Message",Normal,"Running 'InjectCoreLibTypeForwards' transform, heap at 12 MB."
"Message",Normal,"Running 'InjectCoreLibIReflectableTypeSupport' transform, heap at 42 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 42 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"   ms | heap delta | name"
"Message",Normal,"   511 |         19 | WriteAssemblies"
"Message",Normal,"   499 |         30 | InjectCoreLibTypeForwards"
"Message",Normal,"    30 |          0 | InjectCoreLibIReflectableTypeSupport"
"Message",Low,"Uitvoeren van taak ILTransformTask voltooid."
"Message",Low,"Opbouwen van doel InjectCoreLibTypeForwards in project Unnamed_1 voltooid."
"Message",Low,"Doel InjectCoreLibTypeForwards overgeslagen. Vorige opbouw geslaagd."
